ImageId,Label
1,2
2,0
3,5
4,5
5,2
6,1
7,0
8,7
9,0
10,7
11,7
12,5
13,1
14,0
15,9
16,7
17,7
18,6
19,1
20,0
21,1
22,6
23,8
24,8
25,1
26,1
27,2
28,9
29,5
30,5
31,5
32,9
33,1
34,7
35,3
36,7
37,1
38,5
39,6
40,3
41,5
42,1
43,5
44,9
45,7
46,9
47,8
48,4
49,6
50,8
51,3
52,7
53,8
54,4
55,4
56,2
57,8
58,4
59,6
60,0
61,5
62,8
63,5
64,3
65,0
66,0
67,6
68,5
69,0
70,8
71,3
72,4
73,4
74,4
75,2
76,0
77,7
78,1
79,2
80,7
81,4
82,1
83,6
84,0
85,1
86,8
87,9
88,4
89,3
90,1
91,8
92,0
93,3
94,3
95,8
96,1
97,4
98,5
99,1
100,1
101,0
102,7
103,8
104,0
105,5
106,1
107,0
108,7
109,0
110,9
111,0
112,0
113,3
114,8
115,6
116,5
117,8
118,8
119,7
120,4
121,7
122,1
123,2
124,4
125,8
126,7
127,7
128,5
129,8
130,5
131,7
132,4
133,6
134,0
135,0
136,0
137,7
138,6
139,4
140,3
141,9
142,7
143,1
144,4
145,8
146,4
147,9
148,9
149,8
150,4
151,8
152,4
153,4
154,4
155,4
156,8
157,5
158,7
159,1
160,4
161,7
162,0
163,5
164,7
165,6
166,8
167,5
168,3
169,7
170,0
171,2
172,5
173,1
174,3
175,6
176,7
177,5
178,9
179,6
180,2
181,9
182,4
183,7
184,2
185,5
186,1
187,2
188,6
189,8
190,0
191,3
192,8
193,1
194,9
195,3
196,0
197,1
198,1
199,3
200,1
201,6
202,1
203,0
204,6
205,1
206,0
207,4
208,9
209,3
210,2
211,0
212,1
213,7
214,3
215,5
216,2
217,6
218,3
219,7
220,1
221,2
222,4
223,6
224,4
225,2
226,4
227,6
228,3
229,6
230,0
231,0
232,1
233,5
234,8
235,5
236,4
237,2
238,7
239,4
240,3
241,7
242,3
243,2
244,7
245,1
246,7
247,1
248,9
249,4
250,3
251,9
252,9
253,6
254,6
255,4
256,5
257,4
258,8
259,1
260,7
261,2
262,7
263,4
264,4
265,1
266,0
267,3
268,4
269,3
270,8
271,3
272,0
273,3
274,7
275,5
276,9
277,8
278,7
279,4
280,5
281,0
282,5
283,6
284,0
285,7
286,6
287,1
288,6
289,9
290,5
291,4
292,1
293,5
294,5
295,5
296,3
297,7
298,4
299,7
300,7
301,3
302,5
303,4
304,2
305,6
306,4
307,5
308,8
309,5
310,7
311,4
312,4
313,1
314,4
315,0
316,4
317,1
318,5
319,6
320,4
321,1
322,8
323,6
324,1
325,4
326,5
327,1
328,6
329,7
330,5
331,3
332,7
333,8
334,7
335,4
336,5
337,0
338,4
339,3
340,4
341,3
342,2
343,6
344,4
345,3
346,0
347,7
348,4
349,7
350,4
351,3
352,1
353,1
354,8
355,1
356,4
357,7
358,9
359,2
360,8
361,7
362,3
363,7
364,4
365,5
366,2
367,4
368,7
369,6
370,3
371,5
372,7
373,9
374,1
375,1
376,3
377,9
378,4
379,7
380,5
381,9
382,8
383,7
384,9
385,2
386,3
387,8
388,6
389,4
390,5
391,6
392,1
393,9
394,9
395,3
396,8
397,8
398,6
399,5
400,7
401,9
402,5
403,3
404,8
405,6
406,8
407,9
408,7
409,4
410,7
411,7
412,4
413,1
414,8
415,9
416,9
417,6
418,6
419,7
420,4
421,9
422,3
423,3
424,4
425,7
426,6
427,1
428,5
429,1
430,1
431,9
432,4
433,7
434,2
435,3
436,6
437,7
438,9
439,4
440,0
441,4
442,9
443,1
444,1
445,6
446,9
447,8
448,8
449,7
450,5
451,1
452,1
453,3
454,5
455,7
456,9
457,6
458,7
459,6
460,7
461,6
462,5
463,4
464,0
465,5
466,6
467,5
468,1
469,9
470,6
471,6
472,5
473,9
474,4
475,4
476,0
477,8
478,4
479,8
480,3
481,1
482,7
483,6
484,2
485,5
486,9
487,1
488,5
489,7
490,1
491,9
492,5
493,7
494,5
495,9
496,5
497,7
498,7
499,2
500,0
501,3
502,4
503,5
504,9
505,8
506,4
507,7
508,7
509,3
510,3
511,1
512,6
513,7
514,9
515,4
516,4
517,8
518,1
519,5
520,2
521,2
522,9
523,0
524,5
525,5
526,6
527,0
528,6
529,6
530,1
531,0
532,5
533,4
534,4
535,1
536,4
537,3
538,7
539,5
540,4
541,0
542,7
543,4
544,6
545,0
546,7
547,0
548,5
549,2
550,6
551,8
552,7
553,0
554,7
555,7
556,0
557,9
558,4
559,3
560,2
561,4
562,4
563,8
564,8
565,3
566,7
567,8
568,6
569,8
570,9
571,9
572,4
573,7
574,8
575,0
576,9
577,6
578,2
579,5
580,2
581,7
582,8
583,2
584,3
585,5
586,8
587,1
588,7
589,4
590,4
591,4
592,4
593,8
594,4
595,2
596,3
597,3
598,3
599,0
600,7
601,6
602,6
603,5
604,6
605,6
606,2
607,4
608,4
609,3
610,8
611,5
612,5
613,7
614,7
615,2
616,5
617,9
618,4
619,0
620,9
621,4
622,7
623,1
624,1
625,7
626,7
627,6
628,4
629,3
630,1
631,3
632,6
633,4
634,3
635,8
636,9
637,5
638,1
639,4
640,7
641,0
642,9
643,1
644,3
645,5
646,5
647,5
648,9
649,6
650,4
651,1
652,1
653,4
654,0
655,6
656,2
657,5
658,7
659,4
660,1
661,2
662,7
663,5
664,0
665,9
666,8
667,8
668,7
669,7
670,3
671,7
672,1
673,5
674,7
675,4
676,1
677,1
678,6
679,3
680,0
681,3
682,1
683,4
684,6
685,6
686,7
687,9
688,3
689,5
690,1
691,8
692,3
693,0
694,6
695,4
696,9
697,7
698,1
699,4
700,4
701,1
702,0
703,9
704,0
705,3
706,0
707,5
708,9
709,3
710,4
711,7
712,4
713,8
714,4
715,4
716,3
717,2
718,7
719,1
720,7
721,1
722,2
723,8
724,0
725,6
726,3
727,3
728,1
729,5
730,5
731,5
732,8
733,7
734,3
735,1
736,5
737,8
738,7
739,6
740,4
741,1
742,5
743,7
744,1
745,4
746,5
747,4
748,5
749,7
750,3
751,1
752,1
753,9
754,5
755,8
756,8
757,5
758,6
759,8
760,7
761,5
762,0
763,5
764,0
765,9
766,0
767,0
768,7
769,8
770,4
771,2
772,4
773,0
774,8
775,4
776,4
777,9
778,3
779,7
780,8
781,8
782,3
783,5
784,4
785,7
786,4
787,7
788,5
789,7
790,7
791,4
792,0
793,5
794,0
795,1
796,4
797,8
798,3
799,1
800,5
801,6
802,6
803,4
804,7
805,6
806,5
807,1
808,3
809,4
810,6
811,4
812,1
813,5
814,4
815,9
816,1
817,0
818,1
819,1
820,8
821,7
822,0
823,4
824,0
825,8
826,1
827,7
828,9
829,8
830,2
831,6
832,4
833,7
834,9
835,7
836,1
837,3
838,6
839,7
840,6
841,8
842,9
843,0
844,4
845,8
846,4
847,1
848,2
849,4
850,4
851,4
852,1
853,5
854,1
855,2
856,7
857,8
858,7
859,5
860,7
861,0
862,1
863,8
864,5
865,2
866,7
867,3
868,5
869,2
870,4
871,9
872,8
873,9
874,2
875,7
876,7
877,6
878,6
879,0
880,6
881,9
882,9
883,6
884,6
885,2
886,5
887,6
888,4
889,9
890,1
891,6
892,5
893,9
894,0
895,5
896,2
897,1
898,3
899,8
900,6
901,7
902,7
903,7
904,5
905,9
906,5
907,1
908,7
909,2
910,1
911,2
912,4
913,9
914,5
915,8
916,3
917,5
918,3
919,8
920,7
921,5
922,7
923,4
924,1
925,9
926,5
927,5
928,3
929,3
930,7
931,4
932,2
933,6
934,9
935,8
936,7
937,5
938,9
939,1
940,4
941,3
942,2
943,3
944,6
945,0
946,1
947,4
948,2
949,1
950,2
951,3
952,9
953,8
954,2
955,7
956,8
957,7
958,7
959,3
960,2
961,5
962,5
963,1
964,0
965,9
966,7
967,8
968,4
969,5
970,7
971,4
972,6
973,9
974,3
975,6
976,0
977,4
978,0
979,1
980,5
981,7
982,4
983,5
984,1
985,5
986,1
987,0
988,7
989,4
990,2
991,6
992,1
993,0
994,3
995,4
996,7
997,3
998,2
999,8
1000,9
1001,0
1002,1
1003,0
1004,5
1005,6
1006,7
1007,5
1008,2
1009,6
1010,9
1011,2
1012,3
1013,7
1014,5
1015,7
1016,1
1017,2
1018,7
1019,5
1020,4
1021,8
1022,5
1023,5
1024,3
1025,2
1026,3
1027,6
1028,4
1029,4
1030,8
1031,1
1032,6
1033,4
1034,1
1035,5
1036,8
1037,4
1038,8
1039,4
1040,0
1041,6
1042,3
1043,6
1044,5
1045,3
1046,8
1047,1
1048,1
1049,3
1050,3
1051,2
1052,3
1053,7
1054,4
1055,5
1056,6
1057,6
1058,7
1059,3
1060,7
1061,0
1062,0
1063,3
1064,0
1065,5
1066,9
1067,5
1068,0
1069,4
1070,1
1071,4
1072,4
1073,5
1074,3
1075,5
1076,2
1077,3
1078,6
1079,2
1080,1
1081,4
1082,0
1083,2
1084,7
1085,5
1086,5
1087,3
1088,3
1089,7
1090,8
1091,7
1092,8
1093,4
1094,6
1095,1
1096,3
1097,4
1098,7
1099,7
1100,7
1101,9
1102,8
1103,1
1104,8
1105,7
1106,2
1107,0
1108,3
1109,5
1110,3
1111,5
1112,2
1113,5
1114,8
1115,0
1116,7
1117,2
1118,3
1119,8
1120,1
1121,4
1122,8
1123,9
1124,6
1125,3
1126,4
1127,4
1128,3
1129,8
1130,8
1131,0
1132,4
1133,4
1134,0
1135,7
1136,3
1137,4
1138,6
1139,5
1140,5
1141,0
1142,0
1143,2
1144,8
1145,2
1146,4
1147,1
1148,7
1149,4
1150,7
1151,3
1152,1
1153,5
1154,5
1155,1
1156,1
1157,5
1158,6
1159,4
1160,4
1161,5
1162,6
1163,9
1164,0
1165,3
1166,1
1167,6
1168,2
1169,9
1170,8
1171,8
1172,2
1173,1
1174,8
1175,4
1176,6
1177,2
1178,1
1179,2
1180,7
1181,4
1182,7
1183,9
1184,1
1185,0
1186,1
1187,0
1188,7
1189,7
1190,1
1191,5
1192,7
1193,7
1194,4
1195,4
1196,5
1197,4
1198,2
1199,9
1200,9
1201,9
1202,1
1203,7
1204,4
1205,6
1206,1
1207,5
1208,3
1209,1
1210,3
1211,8
1212,2
1213,4
1214,1
1215,4
1216,9
1217,4
1218,1
