ImageId,Label
1,2
2,0
3,9
4,9
5,3
6,9
7,0
8,3
9,0
10,3
11,8
12,9
13,8
14,8
15,4
16,3
17,3
18,1
19,9
20,0
21,9
22,1
23,8
24,5
25,7
26,9
27,8
28,9
29,8
30,7
31,8
32,8
33,4
34,8
35,6
36,3
37,9
38,4
39,8
40,8
41,9
42,9
43,4
44,9
45,8
46,7
47,8
48,8
49,8
50,8
51,8
52,8
53,8
54,3
55,8
56,2
57,1
58,8
59,4
60,8
61,9
62,8
63,9
64,0
65,0
66,0
67,1
68,9
69,0
70,1
71,8
72,8
73,8
74,8
75,8
76,8
77,3
78,9
79,2
80,3
81,8
82,9
83,1
84,0
85,9
86,8
87,4
88,3
89,4
90,9
91,8
92,8
93,6
94,6
95,8
96,9
97,3
98,9
99,7
100,4
101,0
102,8
103,8
104,0
105,9
106,8
107,0
108,8
109,8
110,3
111,9
112,0
113,4
114,8
115,1
116,8
117,8
118,1
119,8
120,8
121,3
122,7
123,3
124,8
125,8
126,3
127,8
128,9
129,8
130,4
131,3
132,8
133,8
134,0
135,0
136,0
137,3
138,1
139,3
140,8
141,4
142,3
143,4
144,5
145,5
146,8
147,9
148,9
149,8
150,8
151,8
152,3
153,3
154,8
155,3
156,8
157,7
158,8
159,9
160,8
161,3
162,0
163,4
164,8
165,1
166,8
167,7
168,8
169,3
170,8
171,3
172,9
173,8
174,6
175,1
176,3
177,7
178,4
179,1
180,2
181,4
182,8
183,8
184,4
185,4
186,9
187,2
188,1
189,8
190,0
191,8
192,1
193,4
194,9
195,9
196,8
197,9
198,7
199,6
200,9
201,1
202,9
203,8
204,9
205,9
206,0
207,8
208,4
209,4
210,2
211,8
212,9
213,3
214,6
215,8
216,8
217,8
218,8
219,3
220,4
221,8
222,3
223,1
224,8
225,2
226,8
227,9
228,8
229,1
230,8
231,0
232,4
233,9
234,1
235,8
236,3
237,3
238,8
239,8
240,6
241,8
242,8
243,2
244,8
245,8
246,5
247,9
248,8
249,3
250,8
251,9
252,9
253,8
254,3
255,8
256,9
257,8
258,1
259,4
260,3
261,8
262,3
263,8
264,3
265,9
266,0
267,8
268,8
269,3
270,1
271,9
272,0
273,8
274,3
275,9
276,9
277,1
278,5
279,8
280,4
281,8
282,9
283,8
284,9
285,8
286,3
287,9
288,8
289,9
290,9
291,8
292,9
293,7
294,9
295,9
296,8
297,8
298,0
299,3
300,3
301,4
302,9
303,8
304,8
305,9
306,8
307,4
308,8
309,4
310,8
311,8
312,5
313,9
314,8
315,0
316,3
317,9
318,4
319,1
320,8
321,4
322,1
323,1
324,9
325,8
326,4
327,8
328,1
329,8
330,8
331,8
332,3
333,1
334,3
335,0
336,9
337,0
338,0
339,6
340,8
341,8
342,0
343,1
344,8
345,8
346,0
347,8
348,8
349,8
350,8
351,8
352,7
353,7
354,8
355,8
356,8
357,8
358,9
359,8
360,9
361,3
362,8
363,3
364,8
365,9
366,8
367,3
368,8
369,1
370,8
371,8
372,8
373,9
374,9
375,7
376,8
377,9
378,3
379,3
380,9
381,8
382,8
383,8
384,9
385,3
386,8
387,8
388,8
389,3
390,9
391,1
392,9
393,9
394,9
395,8
396,1
397,1
398,1
399,9
400,3
401,9
402,7
403,6
404,1
405,1
406,1
407,4
408,3
409,8
410,8
411,8
412,3
413,4
414,1
415,3
416,3
417,1
418,1
419,3
420,8
421,9
422,3
423,9
424,8
425,3
426,1
427,4
428,9
429,9
430,9
431,4
432,8
433,8
434,3
435,8
436,8
437,3
438,9
439,9
440,9
441,8
442,4
443,9
444,4
445,8
446,4
447,8
448,8
449,3
450,9
451,8
452,7
453,9
454,9
455,3
456,9
457,8
458,3
459,8
460,8
461,1
462,9
463,8
464,0
465,9
466,1
467,9
468,9
469,4
470,1
471,1
472,4
473,9
474,8
475,8
476,0
477,8
478,3
479,1
480,0
481,4
482,8
483,1
484,8
485,9
486,9
487,4
488,8
489,3
490,7
491,9
492,4
493,8
494,4
495,9
496,9
497,8
498,3
499,3
500,8
501,8
502,5
503,9
504,4
505,8
506,8
507,3
508,3
509,0
510,3
511,7
512,8
513,8
514,4
515,8
516,8
517,8
518,9
519,4
520,3
521,8
522,9
523,0
524,7
525,8
526,1
527,0
528,1
529,1
530,7
531,0
532,4
533,3
534,8
535,8
536,5
537,0
538,8
539,4
540,3
541,0
542,8
543,8
544,2
545,8
546,3
547,0
548,9
549,2
550,1
551,8
552,3
553,0
554,3
555,0
556,0
557,7
558,8
559,8
560,8
561,0
562,3
563,8
564,1
565,8
566,8
567,4
568,8
569,8
570,9
571,8
572,8
573,3
574,3
575,0
576,9
577,8
578,8
579,4
580,8
581,5
582,1
583,9
584,3
585,9
586,1
587,7
588,3
589,8
590,0
591,8
592,8
593,8
594,5
595,3
596,8
597,4
598,9
599,8
600,3
601,8
602,1
603,9
604,8
605,8
606,3
607,8
608,3
609,9
610,8
611,9
612,4
613,3
614,3
615,8
616,4
617,9
618,0
619,0
620,9
621,8
622,8
623,9
624,4
625,8
626,8
627,8
628,3
629,9
630,8
631,8
632,1
633,8
634,9
635,1
636,9
637,9
638,7
639,8
640,3
641,0
642,9
643,9
644,0
645,9
646,8
647,4
648,8
649,1
650,8
651,9
652,8
653,8
654,0
655,8
656,3
657,4
658,3
659,3
660,9
661,8
662,3
663,4
664,8
665,4
666,8
667,1
668,3
669,3
670,4
671,3
672,9
673,4
674,3
675,8
676,7
677,7
678,8
679,8
680,8
681,8
682,9
683,8
684,8
685,8
686,3
687,9
688,8
689,9
690,9
691,8
692,6
693,0
694,1
695,8
696,4
697,3
698,9
699,8
700,8
701,4
702,0
703,9
704,8
705,8
706,8
707,9
708,4
709,6
710,8
711,3
712,8
713,1
714,8
715,8
716,8
717,8
718,3
719,8
720,8
721,9
722,3
723,1
724,8
725,1
726,9
727,6
728,4
729,8
730,4
731,9
732,8
733,3
734,3
735,9
736,9
737,1
738,8
739,1
740,8
741,4
742,4
743,3
744,4
745,3
746,9
747,0
748,9
749,8
750,9
751,4
752,9
753,4
754,4
755,8
756,4
757,7
758,1
759,8
760,8
761,9
762,8
763,4
764,0
765,4
766,0
767,0
768,8
769,1
770,8
771,8
772,8
773,0
774,1
775,9
776,3
777,4
778,6
779,3
780,1
781,1
782,9
783,9
784,8
785,3
786,8
787,3
788,8
789,8
790,8
791,8
792,0
793,4
794,0
795,4
796,3
797,1
798,8
799,9
800,9
801,1
802,1
803,3
804,3
805,8
806,4
807,9
808,8
809,9
810,8
811,8
812,8
813,8
814,8
815,4
816,4
817,0
818,9
819,9
820,8
821,3
822,8
823,3
824,0
825,8
826,9
827,0
828,4
829,8
830,3
831,8
832,0
833,8
834,9
835,3
836,9
837,9
838,8
839,8
840,8
841,8
842,9
843,0
844,8
845,8
846,8
847,7
848,3
849,8
850,8
851,8
852,9
853,9
854,4
855,2
856,8
857,8
858,3
859,9
860,8
861,0
862,9
863,8
864,4
865,3
866,3
867,3
868,9
869,8
870,3
871,9
872,3
873,4
874,3
875,3
876,8
877,1
878,1
879,0
880,1
881,4
882,9
883,8
884,8
885,2
886,7
887,1
888,8
889,4
890,9
891,8
892,7
893,4
894,0
895,4
896,4
897,9
898,8
899,8
900,1
901,8
902,3
903,9
904,9
905,9
906,9
907,8
908,3
909,2
910,7
911,3
912,0
913,9
914,8
915,1
916,8
917,4
918,3
919,1
920,8
921,9
922,3
923,8
924,9
925,4
926,9
927,9
928,4
929,6
930,3
931,3
932,3
933,1
934,4
935,8
936,3
937,9
938,7
939,9
940,5
941,9
942,0
943,4
944,1
945,0
946,9
947,8
948,8
949,9
950,3
951,3
952,9
953,8
954,8
955,3
956,8
957,8
958,8
959,0
960,2
961,9
962,9
963,4
964,0
965,8
966,3
967,8
968,8
969,8
970,3
971,3
972,8
973,9
974,8
975,7
976,9
977,8
978,0
979,9
980,4
981,3
982,8
983,7
984,9
985,7
986,7
987,0
988,8
989,3
990,8
991,1
992,9
993,8
994,6
995,8
996,3
997,8
998,2
999,2
1000,9
1001,0
1002,9
1003,0
1004,9
1005,1
1006,3
1007,4
1008,8
1009,3
1010,9
1011,2
1012,8
1013,3
1014,9
1015,3
1016,9
1017,8
1018,3
1019,9
1020,8
1021,8
1022,9
1023,9
1024,9
1025,2
1026,8
1027,1
1028,8
1029,8
1030,1
1031,9
1032,1
1033,8
1034,9
1035,4
1036,8
1037,8
1038,8
1039,8
1040,0
1041,1
1042,4
1043,1
1044,9
1045,3
1046,2
1047,9
1048,7
1049,8
1050,8
1051,3
1052,6
1053,3
1054,8
1055,9
1056,1
1057,1
1058,3
1059,9
1060,3
1061,0
1062,8
1063,4
1064,0
1065,9
1066,4
1067,9
1068,8
1069,8
1070,9
1071,8
1072,8
1073,9
1074,6
1075,9
1076,8
1077,8
1078,8
1079,8
1080,9
1081,8
1082,0
1083,2
1084,8
1085,7
1086,9
1087,8
1088,4
1089,3
1090,1
1091,3
1092,8
1093,0
1094,1
1095,9
1096,6
1097,9
1098,3
1099,8
1100,3
1101,4
1102,2
1103,9
1104,1
1105,8
1106,3
1107,8
1108,0
1109,4
1110,4
1111,7
1112,3
1113,4
1114,1
1115,0
1116,3
1117,4
1118,6
1119,4
1120,9
1121,8
1122,4
1123,4
1124,1
1125,8
1126,3
1127,8
1128,4
1129,8
1130,2
1131,0
1132,8
1133,8
1134,0
1135,3
1136,1
1137,8
1138,9
1139,8
1140,9
1141,9
1142,0
1143,8
1144,8
1145,3
1146,8
1147,9
1148,8
1149,8
1150,3
1151,8
1152,7
1153,8
1154,4
1155,4
1156,4
1157,8
1158,1
1159,8
1160,3
1161,9
1162,1
1163,9
1164,0
1165,8
1166,4
1167,8
1168,2
1169,4
1170,4
1171,8
1172,3
1173,9
1174,1
1175,8
1176,8
1177,8
1178,9
1179,8
1180,5
1181,3
1182,8
1183,9
1184,9
1185,0
1186,9
1187,0
1188,3
1189,8
1190,9
1191,7
1192,3
1193,3
1194,8
1195,8
1196,9
1197,3
1198,8
1199,5
1200,9
1201,4
1202,8
1203,3
1204,8
1205,8
1206,9
1207,9
1208,6
1209,4
1210,8
1211,4
1212,8
1213,8
1214,4
1215,8
1216,9
1217,3
1218,9
